SITE_NAME_CLEANED,PERIOD_EUR
0001BB,9.19%
0001BR,12.34%
0001KO,13.4%
0002BB,9.11%
0002BR,13.84%
0002KO,10.62%
0003BB,12.83%
0003BR,13.17%
0003KO,10.75%
0004BB,20.49%
0004BR,14.81%
0004KO,11.12%
0005KO,104.26%
0006BB,13.93%
0006BR,98.96%
0007BB,26.23%
0007BR,16.63%
0007KO,18.48%
0008BB,150.38%
0008BR,50.87%
0008KO,9.22%
0009BB,8.79%
0009BR,19.06%
0009KO,9.05%
0010BB,9.27%
0010BR,13.24%
0010KO,10.14%
0011BB,12.07%
0011BR,9.96%
0011KO,10.1%
0012BB,8.21%
0012BR,12.04%
0012KO,13.11%
0013BB,8.67%
0013BR,8.77%
0013KO,10.27%
0014BR,3.56%
0014KO,9.26%
0015BB,11.07%
0015BR,3.34%
0015KO,20.07%
0016BB,16.59%
0016BR,14.85%
0016KO,13.55%
0017BB,10.82%
0017BR,18.78%
0017KO,18.24%
0018BB,9.48%
0018BR,12.82%
0018KO,10.02%
0019BB,10.6%
0019BR,153.27%
0019KO,17.6%
0020BB,9.15%
0020BR,13.12%
0020KO,11.23%
0021BB,157.28%
0021BR,15.33%
0021KO,10.06%
0022BB,8.62%
0022BR,13.02%
0022KO,15.27%
0023BB,8.1%
0023BR,9.09%
0023KO,16.41%
0024BB,6.25%
0024BR,8.49%
0024KO,14.3%
0025BB,10.41%
0025BR,7.36%
0025KO,7.42%
0026BB,15.75%
0026BR,12.92%
0026KO,15.38%
0027BR,9.96%
0027KO,14.23%
0028BB,6.52%
0028KO,12.04%
0029BB,10.39%
0029BR,150.54%
0029KO,12.32%
0030BB,8.66%
0030BR,16.23%
0030KO,29.29%
0031BB,11.2%
0031BR,78.37%
0031KO,23.17%
0032BB,12.57%
0032BR,10.3%
0032KO,12.63%
0033BB,19.35%
0033BR,10.26%
0033KO,17.25%
0034BB,8.11%
0034BR,24.14%
0034KO,9.57%
0035BB,18.95%
0035BR,6.35%
0035KO,12.27%
0036BB,26.12%
0036BR,10.37%
0036KO,11.39%
0037BB,0.28%
0037BR,66.92%
0037KO,8.44%
0038BB,79.59%
0038BR,8.39%
0038KO,8.24%
0039BB,2.88%
0039BR,8.94%
0039KO,13.59%
0040BB,10.51%
0040BR,47.24%
0040KO,16.61%
0041BR,13.02%
0041KO,15.29%
0042BB,8.19%
0042BR,7.19%
0042KO,6.37%
0043BB,17.12%
0043BR,48.71%
0043KO,18.18%
0044BB,12.55%
0044BR,47.63%
0044KO,48.52%
0045BB,17.13%
0045BR,14.53%
0045KO,18.65%
0046BB,9.6%
0046BR,11.97%
0046KO,9.34%
0047BB,18.01%
0047BR,11.98%
0047KO,90.64%
0048BB,14.18%
0048BR,11.12%
0048KO,4.21%
0049BB,14.22%
0049BR,19.48%
0050BR,28.43%
0050KO,23.61%
0051BB,1.9%
0051BR,24.67%
0051KO,29.0%
0052BR,15.23%
0052KO,9.51%
0053BB,11.42%
0053BR,12.21%
0053KO,6.9%
0054BB,31.29%
0054BR,8.96%
0054KO,15.05%
0055BR,32.76%
0055KO,8.37%
0056BB,69.13%
0056BR,11.27%
0056KO,7.18%
0057BR,10.4%
0057KO,7.77%
0058BR,62.1%
0058KO,16.92%
0059BR,14.13%
0059KO,16.57%
0060BB,9.63%
0060BR,12.25%
0060KO,6.96%
0061BB,11.8%
0061BR,56.68%
0061KO,100.33%
0062BB,8.28%
0062BR,10.07%
0062KO,12.08%
0063BB,13.34%
0063BR,7.74%
0063KO,5.82%
0064BB,180.14%
0064BR,60.24%
0064KO,7.94%
0065BB,12.14%
0065BR,12.34%
0066BB,11.54%
0066BR,8.13%
0067BB,0.09%
0067BR,12.46%
0068BB,4.61%
0068BR,23.8%
0069BB,140.55%
0069BR,2.48%
0070BB,18.91%
0070BR,6.91%
0070KO,14.7%
0071BB,18.38%
0071BR,78.54%
0071KO,12.52%
0072BB,7.48%
0072BR,16.85%
0072KO,28.52%
0073BB,23.51%
0073BR,9.27%
0073KO,18.87%
0074BB,8.41%
0074BR,20.21%
0074KO,47.85%
0075BB,2.32%
0075BR,10.75%
0076BB,1.47%
0076BR,84.25%
0076KO,148.65%
0077BB,6.2%
0077BR,12.51%
0077KO,6.8%
0078BB,17.89%
0078BR,11.21%
0078KO,96.97%
0079BB,9.37%
0079BR,11.53%
0080BB,10.73%
0080BR,10.39%
0080KO,24.98%
0081BB,139.74%
0081BR,11.46%
0081KO,5.26%
0082BB,2.62%
0082BR,66.05%
0082KO,48.13%
0083BB,135.55%
0083BR,7.44%
0083KO,16.2%
0084BR,43.07%
0084KO,24.79%
0085BB,11.96%
0085BR,44.93%
0085KO,7.29%
0086BB,18.15%
0086BR,14.81%
0086KO,7.97%
0087BB,6.58%
0087BR,26.91%
0087KO,9.25%
0088BB,12.45%
0088BR,13.06%
0088KO,12.33%
0089BB,160.51%
0089BR,51.09%
0089KO,43.65%
0090BB,7.3%
0090BR,14.5%
0090KO,14.64%
0091BB,13.27%
0091BR,13.13%
0091KO,54.96%
0092BB,8.13%
0092BR,15.15%
0092KO,10.3%
0093BB,11.2%
0093BR,41.7%
0093KO,10.53%
0094BB,1.41%
0094BR,4.12%
0094KO,8.92%
0095BR,26.97%
0095KO,25.52%
0096BB,13.79%
0096BR,7.64%
0096KO,17.65%
0097BB,14.84%
0097BR,2.25%
0097KO,9.32%
0098BB,154.85%
0098BR,24.93%
0098KO,10.67%
0099BB,63.0%
0099BR,74.06%
0099KO,6.42%
0100BB,9.92%
0100BR,61.52%
0100KO,21.76%
0101BB,7.07%
0101BR,10.94%
0101KO,19.94%
0102BB,8.68%
0102BR,10.94%
0103BB,14.65%
0103BR,16.5%
0103KO,6.4%
0104BR,66.45%
0104KO,8.23%
0105BB,27.77%
0105BR,8.78%
0105KO,24.38%
0106BB,19.66%
0106BR,8.24%
0106KO,25.55%
0107BB,6.61%
0107BR,16.72%
0107KO,23.33%
0108BB,12.49%
0108BR,8.91%
0108KO,80.28%
0109BB,6.49%
0109BR,8.78%
0110BB,150.67%
0110BR,15.26%
0110KO,24.42%
0111BB,15.33%
0111BR,7.7%
0111KO,27.62%
0112BB,10.96%
0112BR,9.52%
0112KO,7.56%
0113BB,1.58%
0113BR,1.2%
0113KO,44.26%
0114BB,14.52%
0114BR,33.88%
0115BB,1.23%
0115BR,8.18%
0115KO,7.11%
0116BB,126.44%
0116BR,31.94%
0117BB,34.68%
0117BR,9.6%
0118BB,9.1%
0118BR,8.56%
0118KO,7.47%
0119BB,50.71%
0119BR,33.46%
0120BB,11.02%
0120BR,19.07%
0120KO,63.5%
0121BR,5.81%
0122BB,26.92%
0122BR,15.4%
0123BB,135.9%
0123BR,62.31%
0124BB,97.59%
0124BR,17.35%
0125BB,19.78%
0125BR,62.33%
0125KO,9.28%
0126BB,10.11%
0126BR,13.77%
0126KO,14.19%
0127BB,4.17%
0127BR,15.27%
0128BB,63.13%
0128BR,9.64%
0128KO,34.35%
0129BB,16.36%
0129BR,9.58%
0129KO,12.76%
0130BB,88.3%
0130BR,7.7%
0130KO,85.37%
0131BB,5.26%
0131BR,14.26%
0131KO,8.68%
0132BR,3.4%
0132KO,13.83%
0133BB,143.53%
0133BR,7.14%
0133KO,12.5%
0134BB,11.01%
0134BR,59.68%
0134KO,8.84%
0135BB,134.89%
0135KO,5.33%
0136BB,9.6%
0136BR,37.76%
0136KO,6.08%
0137BB,155.62%
0137BR,42.9%
0137KO,6.73%
0138BB,0.07%
0138BR,11.99%
0138KO,4.61%
0139BB,201.32%
0139BR,12.45%
0139KO,10.27%
0140BB,8.06%
0140BR,66.0%
0140KO,9.2%
0141BB,19.53%
0141BR,68.83%
0141KO,9.37%
0142BB,1.09%
0142BR,39.68%
0143BB,87.5%
0143BR,53.79%
0143KO,163.33%
0144BB,10.16%
0144BR,2.89%
0144KO,7.46%
0145BB,29.44%
0145BR,19.27%
0146BB,12.76%
0146BR,57.43%
0146KO,4.86%
0147BB,104.23%
0147BR,5.59%
0147KO,8.03%
0148BB,1.33%
0148BR,16.75%
0149BB,43.11%
0149BR,13.98%
0150BB,11.95%
0150BR,37.06%
0150KO,7.56%
0151BB,29.87%
0151BR,76.51%
0151KO,9.68%
0152BB,143.94%
0152BR,13.03%
0152KO,10.64%
0153BB,10.98%
0153BR,65.46%
0153KO,11.04%
0154BB,9.97%
0154BR,19.17%
0154KO,13.32%
0155BB,150.78%
0155BR,5.81%
0155KO,8.46%
0156BB,16.61%
0156BR,17.09%
0156KO,20.96%
0157BB,7.52%
0157BR,0.74%
0157KO,6.13%
0158BB,15.64%
0158BR,11.46%
0158KO,20.36%
0159BR,16.25%
0159KO,16.99%
0160BR,15.63%
0160KO,5.92%
0161BB,14.25%
0161BR,70.67%
0161KO,18.01%
0162BB,5.67%
0162BR,9.69%
0162KO,144.4%
0163BB,11.67%
0163BR,3.03%
0163KO,15.87%
0164BB,53.51%
0164BR,57.55%
0165BB,14.37%
0165BR,27.75%
0166BB,12.15%
0166BR,5.27%
0166KO,19.86%
0167BB,14.75%
0167BR,76.83%
0167KO,2.65%
0168BB,11.26%
0168BR,34.66%
0168KO,11.07%
0169BB,143.17%
0169BR,49.25%
0169KO,124.79%
0170BB,14.11%
0170BR,56.81%
0170KO,147.57%
0171BB,3.38%
0171BR,8.68%
0171KO,11.51%
0172BB,11.33%
0172BR,67.18%
0172KO,5.49%
0173BB,7.91%
0173BR,7.89%
0173KO,3.5%
0174BR,47.7%
0174KO,122.56%
0175BB,10.04%
0175BR,81.24%
0175KO,117.05%
0176BB,24.88%
0176BR,69.18%
0176KO,147.44%
0177BB,6.75%
0177BR,75.57%
0177KO,14.97%
0178BB,0.18%
0178BR,5.36%
0178KO,87.68%
0179BB,14.22%
0179BR,37.87%
0179KO,0.58%
0180BB,0.79%
0180BR,24.02%
0180KO,57.17%
0181BB,6.85%
0181BR,6.7%
0181KO,11.46%
0182BB,127.48%
0182BR,15.4%
0183BB,7.08%
0183BR,60.7%
0184BR,12.48%
0184KO,7.21%
0185BB,153.55%
0185BR,10.69%
0185KO,44.01%
0186BB,1.31%
0186BR,45.25%
0186KO,5.83%
0187BB,4.5%
0187BR,8.12%
0188BB,14.71%
0188BR,13.82%
0188KO,24.77%
0189BB,6.1%
0189BR,8.76%
0190BB,146.83%
0190BR,29.65%
0190KO,10.91%
0191BB,0.88%
0191BR,19.11%
0192BR,26.24%
0192KO,7.3%
0193BB,18.27%
0193BR,51.79%
0193KO,17.81%
0194BB,151.1%
0194BR,13.5%
0194KO,70.18%
0195BB,1.22%
0195BR,36.19%
0195KO,32.68%
0196BB,166.2%
0196BR,14.32%
0197BR,11.95%
0197KO,15.57%
0198BB,12.18%
0199BB,12.01%
0199BR,20.4%
0199KO,72.28%
0200BB,1.17%
0200KO,9.58%
0201BR,25.47%
0201KO,11.36%
0202BR,8.9%
0202KO,10.08%
0203BR,11.7%
0203KO,63.95%
0204BB,29.86%
0204BR,5.75%
0204KO,152.15%
0205BR,10.91%
0205KO,9.13%
0206BR,9.01%
0206KO,56.36%
0207BB,7.97%
0207BR,11.11%
0207KO,6.46%
0208BR,nan%
0208KO,6.13%
0209BB,147.83%
0209BR,36.57%
0209KO,8.13%
0210BR,68.53%
0210KO,17.56%
0211BB,10.81%
0211BR,8.41%
0211KO,28.23%
0212BB,148.24%
0212BR,73.82%
0212KO,47.48%
0213BB,10.63%
0213BR,72.94%
0213KO,64.86%
0214BB,18.7%
0214BR,11.57%
0214KO,14.81%
0215BB,4.13%
0215BR,8.19%
0215KO,5.82%
0216BR,47.85%
0216KO,12.12%
0217BB,189.69%
0217BR,62.28%
0217KO,54.78%
0218BB,11.13%
0218BR,7.47%
0218KO,11.16%
0219BB,2.84%
0219BR,12.97%
0219KO,8.9%
0220BB,6.3%
0220BR,9.59%
0220KO,nan%
0221BR,7.75%
0221KO,68.96%
0222BB,7.79%
0222BR,65.2%
0222KO,4.73%
0223BR,42.4%
0223KO,28.2%
0224BB,27.51%
0224BR,38.47%
0224KO,11.12%
0225BB,7.22%
0225BR,42.07%
0225KO,23.21%
0226BB,9.91%
0226BR,53.76%
0226KO,9.98%
0227BB,54.01%
0227BR,38.74%
0227KO,11.54%
0228BB,5.34%
0228BR,15.51%
0228KO,9.52%
0229BB,10.16%
0229BR,66.05%
0229KO,8.47%
0230BB,12.24%
0230KO,10.7%
0231BB,1.35%
0231BR,17.31%
0231KO,43.76%
0232BB,11.38%
0232BR,33.31%
0232KO,8.22%
0233BB,1.12%
0233BR,13.83%
0233KO,4.82%
0234BB,18.47%
0234BR,41.25%
0234KO,9.89%
0235BB,159.19%
0235BR,10.49%
0235KO,8.54%
0236BB,1.63%
0236BR,7.08%
0236KO,18.17%
0237BB,38.36%
0237BR,68.56%
0237KO,46.28%
0238BB,37.4%
0238BR,24.14%
0238KO,13.48%
0239BB,27.1%
0239BR,9.56%
0239KO,13.4%
0240BB,60.97%
0240BR,4.13%
0240KO,60.34%
0241BR,14.13%
0241KO,24.34%
0242BB,13.28%
0242BR,59.43%
0242KO,14.33%
0243BB,74.74%
0243BR,35.64%
0243KO,27.17%
0244BB,0.3%
0244BR,11.57%
0244KO,12.49%
0245BB,13.78%
0245BR,7.62%
0245KO,16.49%
0246BB,6.46%
0246BR,12.5%
0246KO,5.87%
0247BB,28.76%
0247BR,8.64%
0247KO,16.69%
0248BB,127.69%
0248BR,21.43%
0248KO,13.56%
0249BB,14.97%
0249KO,40.31%
0250BB,10.4%
0250BR,75.91%
0250KO,10.81%
0251BB,9.24%
0251BR,73.06%
0251KO,19.72%
0252BB,13.3%
0252BR,9.17%
0252KO,12.42%
0253BB,9.12%
0253BR,13.02%
0253KO,19.67%
0254BB,38.81%
0254BR,16.17%
0254KO,139.14%
0255BB,16.86%
0255BR,48.37%
0255KO,28.21%
0256BB,1.84%
0256BR,92.42%
0256KO,7.63%
0257BB,4.6%
0257KO,19.97%
0258BB,9.97%
0258BR,6.86%
0258KO,21.4%
0259BB,11.56%
0259BR,17.48%
0260BB,148.57%
0260BR,225.4%
0260KO,7.06%
0261BB,0.95%
0261BR,15.16%
0261KO,13.1%
0262BB,143.12%
0262BR,47.31%
0262KO,10.34%
0263BB,9.05%
0263BR,35.04%
0263KO,12.32%
0264BB,10.82%
0264BR,1.16%
0264KO,11.31%
0265BB,12.59%
0265BR,nan%
0265KO,7.32%
0266BB,31.7%
0266BR,9.11%
0266KO,5.95%
0267BB,9.52%
0267BR,0.91%
0267KO,9.91%
0268BB,10.1%
0268BR,91.47%
0268KO,7.6%
0269BB,22.26%
0269BR,44.36%
0269KO,9.3%
0270BB,15.2%
0270BR,8.53%
0270KO,6.67%
0271BB,12.86%
0271BR,24.65%
0271KO,19.98%
0272BB,27.6%
0272BR,120.67%
0272KO,6.88%
0273BB,15.96%
0273BR,15.8%
0273KO,21.12%
0274BB,18.48%
0274BR,11.81%
0274KO,9.8%
0275BB,8.43%
0275BR,10.22%
0275KO,9.63%
0276BB,147.85%
0276BR,49.73%
0276KO,16.7%
0277BB,5.25%
0277BR,16.98%
0277KO,28.88%
0278BB,22.08%
0278BR,8.15%
0278KO,10.06%
0279BB,13.55%
0279BR,7.52%
0279KO,7.15%
0280BB,35.92%
0280BR,106.92%
0280KO,8.22%
0281BB,150.75%
0281BR,12.09%
0281KO,13.2%
0282BB,99.42%
0282BR,1.93%
0282KO,54.38%
0283BB,16.79%
0283BR,30.79%
0283KO,5.67%
0284BB,5.44%
0284BR,22.88%
0284KO,21.14%
0285BB,13.59%
0285BR,42.5%
0285KO,11.07%
0286BB,15.09%
0286BR,46.49%
0286KO,27.57%
0287BB,12.3%
0287BR,61.66%
0287KO,19.75%
0288BB,6.24%
0288BR,20.46%
0288KO,6.92%
0289BB,157.76%
0289BR,11.75%
0289KO,9.06%
0290BB,5.4%
0290BR,12.21%
0290KO,146.64%
0291BB,12.24%
0291KO,8.58%
0292BB,0.69%
0292BR,57.7%
0292KO,10.52%
0293BB,40.27%
0293BR,53.39%
0293KO,12.86%
0294BB,14.25%
0294BR,12.95%
0294KO,29.82%
0295BB,102.77%
0295BR,10.33%
0295KO,16.75%
0296BB,133.11%
0296BR,5.17%
0296KO,6.98%
0297BB,10.7%
0297BR,70.65%
0297KO,16.94%
0298BB,35.74%
0298BR,17.19%
0298KO,11.27%
0299BB,6.57%
0299BR,6.48%
0299KO,10.45%
0300BB,14.92%
0300BR,7.04%
0300KO,16.61%
0301BB,154.32%
0301BR,41.65%
0301KO,10.21%
0302BB,18.6%
0302BR,40.49%
0303BB,16.89%
0303BR,18.92%
0303KO,5.99%
0304BB,141.13%
0304BR,13.12%
0304KO,61.59%
0305BB,12.56%
0305KO,21.73%
0306KO,6.0%
0307BR,42.46%
0307KO,61.9%
0308BB,6.17%
0308BR,73.11%
0308KO,35.08%
0309BB,10.11%
0309BR,7.54%
0309KO,8.97%
0310BB,12.0%
0310BR,45.1%
0310KO,56.54%
0311BB,11.76%
0311BR,41.01%
0311KO,12.1%
0312BB,162.23%
0312BR,54.79%
0312KO,7.2%
0313BB,7.04%
0313BR,78.65%
0313KO,31.29%
0314BB,12.03%
0314BR,9.17%
0314KO,15.78%
0315BB,13.59%
0315BR,35.61%
0315KO,25.03%
0316BB,157.11%
0316BR,13.36%
0316KO,20.06%
0317BB,132.58%
0317BR,38.66%
0317KO,23.2%
0318BB,34.57%
0318BR,18.26%
0318KO,27.46%
0319BB,15.97%
0319BR,14.32%
0319KO,16.64%
0320BB,0.4%
0320BR,8.92%
0320KO,7.32%
0321BB,157.83%
0321BR,41.15%
0321KO,7.26%
0322BB,11.09%
0322BR,68.92%
0322KO,64.7%
0323BB,162.73%
0323BR,29.32%
0323KO,5.22%
0324BB,8.94%
0324BR,35.43%
0324KO,114.45%
0325BB,104.84%
0325BR,34.67%
0325KO,6.44%
0326BB,0.94%
0326BR,7.16%
0326KO,8.6%
0327BB,1.61%
0327BR,0.27%
0327KO,22.91%
0328BB,5.74%
0328BR,46.12%
0328KO,12.97%
0329BB,79.63%
0329BR,6.51%
0329KO,6.31%
0330BB,32.76%
0330BR,54.05%
0330KO,5.48%
0331BB,6.71%
0331BR,16.87%
0331KO,9.36%
0332BB,18.54%
0332BR,31.31%
0332KO,19.43%
0333BB,19.49%
0333BR,14.79%
0333KO,14.61%
0334BR,64.88%
0334KO,24.9%
0335BB,15.49%
0335BR,14.65%
0335KO,10.79%
0336BB,19.91%
0336BR,10.71%
0336KO,6.29%
0337BB,14.96%
0337BR,9.77%
0337KO,11.74%
0338BB,11.35%
0338BR,10.36%
0338KO,5.07%
0339BB,157.05%
0339BR,43.37%
0339KO,8.15%
0340BB,141.51%
0340KO,13.9%
0341BB,161.72%
0341BR,60.71%
0341KO,39.54%
0342BB,26.26%
0342BR,46.87%
0342KO,7.87%
0343BB,161.34%
0343BR,19.18%
0343KO,14.16%
0344BB,10.13%
0344BR,13.33%
0344KO,13.68%
0345BB,43.74%
0345BR,14.88%
0345KO,12.92%
0346BB,22.72%
0346BR,0.72%
0346KO,12.31%
0347BB,11.17%
0347BR,14.12%
0347KO,6.31%
0348BB,3.84%
0348BR,9.07%
0348KO,8.4%
0349BB,20.09%
0349BR,3.27%
0349KO,7.33%
0350BB,15.78%
0350BR,12.65%
0350KO,14.74%
0351BB,6.8%
0351BR,9.55%
0351KO,15.64%
0352BB,12.79%
0352BR,8.88%
0352KO,6.24%
0353BB,17.64%
0353BR,13.85%
0353KO,5.83%
0354BR,149.9%
0354KO,26.07%
0355BB,11.91%
0355BR,4.01%
0355KO,6.58%
0356BB,18.54%
0356BR,7.96%
0356KO,44.33%
0357BB,16.96%
0357BR,54.34%
0357KO,9.44%
0358BB,2.64%
0358BR,7.29%
0358KO,11.43%
0359BB,23.56%
0359BR,42.42%
0359KO,9.06%
0360BB,154.9%
0360BR,9.65%
0360KO,10.37%
0361BB,14.44%
0361BR,3.67%
0361KO,11.43%
0362BB,11.44%
0362BR,0.45%
0362KO,4.85%
0363BB,66.9%
0363BR,42.22%
0363KO,10.27%
0364BB,9.31%
0364BR,59.71%
0364KO,62.92%
0365BB,18.51%
0365BR,28.49%
0365KO,18.71%
0366BB,138.35%
0366BR,69.03%
0366KO,23.83%
0367BB,0.77%
0367BR,9.63%
0367KO,7.59%
0368BB,24.32%
0368BR,9.76%
0368KO,6.6%
0369BB,52.33%
0369BR,9.02%
0369KO,6.35%
0370BB,147.87%
0370BR,17.0%
0370KO,6.29%
0371BB,19.3%
0371BR,16.05%
0371KO,9.58%
0372BB,136.49%
0372BR,31.6%
0372KO,141.95%
0373BB,11.63%
0373BR,41.74%
0373KO,8.48%
0374BB,1.37%
0374BR,29.05%
0374KO,23.64%
0375BB,13.53%
0375BR,12.57%
0375KO,8.63%
0376BB,15.06%
0376BR,67.08%
0376KO,10.29%
0377BB,9.22%
0377BR,60.28%
0377KO,6.29%
0378BB,115.03%
0378BR,15.16%
0378KO,16.57%
0379BB,12.34%
0379BR,44.52%
0379KO,9.44%
0380BB,1.45%
0380BR,15.46%
0380KO,60.48%
0381BB,0.98%
0381BR,88.61%
0381KO,6.61%
0382BB,14.76%
0382BR,10.1%
0382KO,51.5%
0383BB,148.12%
0383BR,14.01%
0383KO,11.83%
0384BB,148.63%
0384BR,18.42%
0384KO,10.32%
0385BB,9.52%
0385BR,67.42%
0385KO,17.19%
0386BB,15.87%
0386BR,64.65%
0386KO,64.6%
0387KO,8.16%
0388BB,1.01%
0388BR,65.09%
0388KO,10.76%
0389BB,9.07%
0389BR,5.85%
0389KO,6.03%
0390BB,7.44%
0390BR,58.58%
0390KO,11.59%
0391BB,145.59%
0391BR,22.97%
0391KO,22.68%
0392BB,11.1%
0392BR,80.33%
0392KO,12.76%
0393BB,14.24%
0393BR,49.66%
0393KO,19.62%
0394BB,46.67%
0394BR,9.07%
0394KO,16.01%
0395BB,8.73%
0395BR,32.56%
0395KO,7.24%
0396BR,8.14%
0396KO,8.54%
0397BB,20.05%
0397BR,3.98%
0397KO,127.42%
0398BB,28.91%
0398KO,115.03%
0399BB,8.44%
0399BR,0.05%
0399KO,11.29%
0400BB,13.88%
0400BR,10.97%
0400KO,38.25%
0401BB,20.88%
0401BR,42.19%
0401KO,7.74%
0402BB,27.69%
0402BR,68.12%
0402KO,10.96%
0403BB,52.03%
0403BR,22.95%
0403KO,10.25%
0404BB,68.52%
0404KO,11.83%
0405BB,17.77%
0405BR,43.38%
0405KO,36.34%
0406BB,71.41%
0406BR,51.2%
0406KO,18.6%
0407BB,65.04%
0407BR,37.29%
0407KO,40.47%
0408BB,150.01%
0408BR,25.06%
0408KO,9.82%
0409BB,16.18%
0409BR,21.02%
0409KO,141.99%
0410BB,9.45%
0410BR,29.63%
0410KO,36.93%
0411BB,20.03%
0411BR,25.47%
0411KO,81.59%
0412BB,3.33%
0412BR,33.04%
0412KO,19.95%
0413BB,11.64%
0413BR,2.76%
0413KO,9.79%
0414BB,153.26%
0414BR,35.79%
0414KO,13.54%
0415BB,23.25%
0415BR,20.27%
0416BB,122.34%
0416BR,13.89%
0416KO,40.47%
0417BB,13.38%
0417BR,10.22%
0417KO,5.83%
0418BB,15.67%
0418BR,7.77%
0418KO,16.72%
0419BB,30.8%
0419BR,11.65%
0419KO,19.01%
0420BR,80.0%
0420KO,11.72%
0421BB,17.69%
0421KO,16.52%
0422BB,53.89%
0422BR,15.59%
0422KO,14.88%
0423BB,55.51%
0423BR,11.18%
0423KO,18.42%
0424BB,13.64%
0424KO,35.85%
0425BB,8.77%
0425BR,37.86%
0425KO,9.16%
0426BB,24.32%
0426BR,15.01%
0426KO,22.43%
0427BB,30.18%
0427BR,11.74%
0427KO,139.46%
0428BB,3.27%
0428BR,12.55%
0428KO,9.66%
0429BB,12.7%
0429BR,41.44%
0429KO,8.82%
0430BB,12.6%
0430KO,100.74%
0431BB,13.84%
0431BR,46.27%
