SITE_NAME_CLEANED,PERIOD_EUR
0431KO,32.3%
0432BB,15.42%
0432BR,8.01%
0432KO,6.55%
0433BB,12.96%
0433BR,9.57%
0433KO,23.49%
0434BB,12.71%
0434BR,47.96%
0434KO,9.02%
0435BB,10.6%
0435BR,44.63%
0435KO,3.62%
0436BB,137.28%
0436BR,26.84%
0436KO,11.65%
0437BB,8.06%
0437BR,8.57%
0437KO,13.29%
0438BB,5.46%
0438BR,62.44%
0438KO,12.29%
0439BB,7.62%
0439BR,81.97%
0439KO,15.78%
0440BB,11.2%
0440BR,17.36%
0440KO,11.39%
0441BB,22.19%
0441BR,8.79%
0441KO,9.65%
0442BB,24.05%
0442BR,9.94%
0442KO,12.98%
0443BB,29.19%
0443BR,51.45%
0443KO,16.37%
0444BB,2.33%
0444BR,17.9%
0444KO,7.35%
0445BB,6.39%
0445BR,41.55%
0445KO,23.37%
0446BB,12.59%
0446BR,71.04%
0446KO,54.08%
0447BB,16.64%
0447BR,0.7%
0447KO,10.55%
0448BB,15.32%
0448BR,39.02%
0448KO,10.64%
0449BB,23.95%
0449BR,5.16%
0449KO,11.19%
0450BB,23.52%
0450BR,13.31%
0450KO,8.63%
0451BB,15.69%
0451KO,11.28%
0452BB,14.18%
0452KO,16.11%
0453BB,14.24%
0453BR,28.7%
0453KO,61.23%
0454BB,11.61%
0454BR,12.39%
0454KO,11.08%
0455BB,16.7%
0455KO,5.48%
0456BB,29.43%
0456BR,13.13%
0456KO,21.86%
0457BB,19.13%
0457BR,36.81%
0457KO,7.97%
0458BB,19.98%
0458BR,5.5%
0458KO,77.74%
0459BB,6.48%
0459BR,47.95%
0459KO,103.65%
0460BB,12.81%
0460BR,49.73%
0460KO,5.36%
0461BB,19.57%
0461BR,7.05%
0461KO,6.95%
0462BB,5.9%
0462BR,14.71%
0462KO,5.21%
0463BB,19.73%
0463BR,18.47%
0463KO,10.32%
0464BB,17.24%
0464BR,76.13%
0464KO,6.25%
0465BB,8.29%
0465BR,21.05%
0465KO,16.16%
0466BB,16.79%
0466BR,35.18%
0466KO,15.08%
0467BB,12.4%
0467BR,11.52%
0467KO,8.36%
0468BR,24.55%
0468KO,20.01%
0469BB,10.11%
0469BR,17.95%
0470BB,11.82%
0470BR,44.38%
0471BB,8.08%
0471BR,17.11%
0472BB,nan%
0472BR,91.86%
0473BB,12.27%
0473BR,58.96%
0473KO,7.33%
0474BB,11.45%
0474BR,41.82%
0474KO,28.79%
0475BB,24.83%
0475BR,11.13%
0475KO,33.1%
0476BB,10.24%
0476BR,2.4%
0476KO,17.87%
0477BB,14.19%
0477BR,13.36%
0477KO,7.0%
0478BB,17.4%
0478BR,42.07%
0478KO,12.83%
0479BB,10.3%
0479BR,55.3%
0479KO,9.06%
0480BB,12.33%
0480BR,26.67%
0480KO,25.85%
0481BR,42.67%
0481KO,34.37%
0482BB,13.76%
0482BR,72.4%
0482KO,22.93%
0483BB,14.06%
0483BR,17.05%
0483KO,9.18%
0484BB,5.31%
0484BR,57.99%
0484KO,10.83%
0485BB,17.41%
0485BR,79.87%
0485KO,15.43%
0486BB,12.39%
0486BR,41.42%
0486KO,16.11%
0487BB,15.98%
0487BR,8.48%
0487KO,23.88%
0488BB,15.67%
0488BR,19.9%
0488KO,7.29%
0489BB,15.57%
0489BR,nan%
0489KO,20.5%
0490BB,15.43%
0490BR,43.1%
0491BB,11.46%
0491BR,44.02%
0492BB,0.67%
0492BR,62.68%
0492KO,88.99%
0493BB,4.86%
0493BR,67.78%
0493KO,87.91%
0494BB,8.92%
0494BR,59.53%
0494KO,14.41%
0495BB,7.4%
0495BR,8.81%
0495KO,17.3%
0496BB,18.68%
0496BR,42.37%
0497BB,31.08%
0497BR,5.3%
0497KO,2.06%
0498BB,11.37%
0498BR,15.24%
0499BB,19.84%
0499BR,13.47%
0500KO,2.19%
0509KO,5.37%
0510BB,13.76%
0519BB,0.64%
0524BR,13.23%
0524KO,9.5%
0529KO,16.6%
0530KO,3.55%
0531BB,17.99%
0531KO,14.07%
0539BB,39.21%
0546BR,46.25%
0547BB,71.14%
0558BB,15.24%
0561BB,13.81%
0561BR,52.97%
0563BB,3.12%
0564BR,23.16%
0567BR,6.42%
0573BB,10.1%
0576BB,4.69%
0576BR,5.43%
0579BB,8.89%
0579BR,32.16%
0580BB,4.3%
0585BR,5.82%
0589BB,2.82%
0590BB,35.68%
0592BB,5.07%
0593BB,121.73%
0596BB,6.57%
0598BB,4.88%
0600BR,21.06%
0600KO,16.95%
0601BR,20.7%
0602BR,63.08%
0602KO,16.73%
0603KO,9.47%
0605BB,20.72%
0605KO,34.01%
0606BB,17.22%
0606KO,56.03%
0608KO,7.27%
0609BR,24.38%
0610BR,9.46%
0611BR,12.58%
0611KO,14.36%
0612BB,9.24%
0613BB,24.03%
0613BR,86.49%
0614BR,68.68%
0614KO,15.69%
0615BB,8.44%
0615BR,7.16%
0615KO,7.28%
0616BB,11.25%
0616BR,88.79%
0617BR,127.38%
0618BR,17.6%
0619KO,23.43%
0620BR,84.02%
0620KO,88.19%
0621BB,21.17%
0621BR,20.57%
0621KO,7.58%
0623BR,25.54%
0624BR,6.87%
0625BR,21.98%
0625KO,6.75%
0626KO,22.56%
0627BR,12.75%
0627KO,6.69%
0628BR,11.37%
0630KO,nan%
0631BR,109.65%
0632BR,23.17%
0632KO,16.04%
0633BR,12.11%
0635BR,59.32%
0636BR,12.6%
0638BR,8.47%
0639BR,17.43%
0641BR,5.45%
0643BR,18.13%
0644BR,24.1%
0645BR,57.17%
0647BR,22.01%
0648BR,13.07%
0649BR,9.08%
0650BR,56.79%
0652BR,23.88%
0654BR,20.68%
0660BR,30.71%
0662BR,24.11%
0663BR,21.55%
0664BR,15.89%
0665BR,10.89%
0666BR,11.29%
0667BR,11.68%
0668BR,8.31%
0670BR,nan%
0671BR,20.42%
0672BR,81.96%
0675BR,5.6%
0679BR,38.74%
0682BR,20.75%
0684BR,26.52%
0688BR,13.31%
0690BR,6.92%
0693BR,32.69%
0694BR,17.18%
0697BR,45.55%
0698BR,21.45%
0699BR,73.51%
0701KO,13.04%
0703BR,82.65%
0705BR,37.81%
0710BR,1.14%
0711BR,56.11%
0712BR,54.41%
0714BR,85.11%
0715BR,63.12%
0717BR,71.44%
0719BR,5.77%
0811BB,10.7%
0998BR,12.06%
0999KO,12.09%
1001BB,15.19%
1001BR,13.93%
1001KO,6.24%
1002BB,51.76%
1002BR,14.87%
1002KO,74.3%
1003BB,25.46%
1003BR,14.99%
1004BB,17.85%
1004BR,44.2%
1004KO,156.19%
1005BB,17.42%
1005BR,3.07%
1005KO,42.51%
1006BB,10.83%
1006BR,12.67%
1007BB,0.94%
1007BR,15.24%
1007KO,21.18%
1008BB,26.16%
1008BR,47.65%
1008KO,22.03%
1009BB,13.07%
1009BR,51.8%
1009KO,13.96%
1010BB,13.34%
1010BR,5.49%
1011BB,17.71%
1011KO,29.99%
1012BB,1.65%
1012BR,12.66%
1012KO,9.98%
1013BR,12.75%
1014BB,22.41%
1014BR,1.64%
1014KO,11.72%
1015BB,16.35%
1015BR,12.46%
1016BB,19.49%
1016BR,6.57%
1016KO,10.45%
1017BB,164.91%
1017BR,9.18%
1017KO,11.99%
1018BB,142.95%
1018BR,0.33%
1018KO,10.38%
1019BB,109.77%
1019BR,13.46%
1019KO,9.39%
1020BB,155.21%
1020BR,3.73%
1020KO,5.72%
1021BB,22.09%
1021BR,68.12%
1021KO,59.45%
1022BB,5.64%
1022BR,43.71%
1022KO,28.24%
1023BB,11.83%
1023BR,28.97%
1024BB,132.88%
1024BR,19.36%
1024KO,17.35%
1025BB,0.65%
1025BR,25.2%
1025KO,12.05%
1026BB,0.03%
1026BR,18.82%
1027BR,16.94%
1027KO,35.31%
1028BB,134.45%
1028BR,59.93%
1028KO,6.88%
1029BB,19.69%
1029BR,9.32%
1029KO,46.13%
1030BB,1.55%
1030BR,49.18%
1030KO,39.8%
1031BB,235.62%
1031BR,81.56%
1032BB,6.37%
1032BR,50.35%
1033BB,5.39%
1033BR,8.63%
1033KO,14.89%
1034BB,22.84%
1034BR,44.17%
1036BB,24.39%
1036BR,37.37%
1036KO,24.41%
1037BB,14.47%
1037BR,10.84%
1037KO,26.11%
1038BB,9.34%
1038BR,15.84%
1038KO,11.35%
1039BB,0.09%
1039KO,34.41%
1040BB,10.75%
1040BR,48.87%
1040KO,107.56%
1041BB,13.55%
1041BR,58.15%
1042BB,4.25%
1042BR,13.56%
1042KO,8.49%
1043BB,139.14%
1043BR,10.88%
1043KO,12.82%
1044BB,20.71%
1044BR,2.63%
1045BB,7.08%
1045BR,14.94%
1045KO,9.14%
1046BB,16.47%
1046BR,4.01%
1047BB,6.28%
1047BR,43.34%
1047KO,7.05%
1048BB,14.76%
1048BR,41.6%
1048KO,8.01%
1049BB,0.99%
1049BR,16.97%
1049KO,8.05%
1050BB,14.39%
1050BR,33.82%
1050KO,11.67%
1051BR,24.85%
1051KO,13.09%
1052BB,8.84%
1052BR,15.69%
1052KO,4.49%
1053BB,12.41%
1053BR,6.54%
1053KO,15.65%
1054BB,17.05%
1054BR,77.13%
1054KO,11.85%
1055BB,43.58%
1055BR,45.52%
1055KO,18.8%
1056BR,11.45%
1056KO,4.88%
1057BR,21.69%
1057KO,42.2%
1058BR,8.88%
1058KO,16.68%
1059BB,11.85%
1059BR,29.9%
1059KO,15.78%
1060BR,84.18%
1060KO,8.86%
1061BB,4.26%
1061BR,8.21%
1062BB,7.47%
1062BR,79.74%
1063BB,46.4%
1063BR,34.56%
1063KO,8.25%
1064BB,54.68%
1064BR,8.98%
1064KO,21.57%
1065BB,1.06%
1065BR,28.39%
1065KO,12.86%
1066BB,13.42%
1066BR,22.95%
1066KO,53.21%
1067BB,8.22%
1067BR,83.01%
1067KO,36.26%
1068BB,10.67%
1068BR,15.19%
1068KO,13.82%
1069BB,12.46%
1069BR,17.5%
1069KO,31.01%
1070BB,9.58%
1070BR,1.7%
1070KO,10.56%
1071BB,28.99%
1071BR,11.45%
1071KO,21.96%
1072BB,9.81%
1072BR,48.01%
1072KO,7.41%
1073BB,21.02%
1073BR,0.72%
1073KO,28.07%
1074BB,9.87%
1074BR,37.09%
1075BR,17.81%
1075KO,9.54%
1076BB,21.73%
1076BR,57.35%
1077BB,15.0%
1077BR,35.4%
1078BB,12.6%
1078BR,18.77%
1079KO,8.17%
1080BB,11.76%
1080KO,6.46%
1081BB,26.39%
1081BR,28.31%
1081KO,16.27%
1082BB,43.97%
1082BR,71.36%
1082KO,12.62%
1083BB,0.39%
1083BR,68.79%
1083KO,14.08%
1084BR,11.7%
1084KO,11.51%
1085BB,152.59%
1085BR,10.67%
1085KO,18.16%
1086BR,16.31%
1086KO,11.83%
1087BB,14.97%
1087BR,14.07%
1087KO,26.98%
1088BR,17.62%
1088KO,44.17%
1089BB,16.66%
1089BR,72.33%
1089KO,11.08%
1090BB,20.34%
1090BR,11.64%
1090KO,5.24%
1091BB,2.55%
1091BR,13.44%
1091KO,8.14%
1092BB,138.96%
1092BR,11.23%
1092KO,7.48%
1093BB,0.11%
1093BR,11.64%
1093KO,33.82%
1094BB,139.04%
1094BR,3.83%
1094KO,3.51%
1095BB,21.54%
1095BR,13.06%
1096BB,15.58%
1096BR,20.35%
1096KO,36.19%
1097BB,11.16%
1097BR,11.87%
1097KO,9.78%
1098BB,4.09%
1098BR,11.92%
1098KO,17.83%
1099BB,2.73%
1099KO,154.95%
1100BB,nan%
1100BR,59.19%
1100KO,12.36%
1101BR,46.34%
1102BB,0.89%
1102BR,10.79%
1102KO,8.04%
1103BR,12.19%
1103KO,147.79%
1104BB,21.14%
1104BR,12.32%
1104KO,23.14%
1105BB,137.97%
1105BR,10.0%
1105KO,10.53%
1106BB,11.39%
1106BR,19.15%
1106KO,nan%
1107BB,64.07%
1107BR,24.7%
1107KO,58.23%
1108BB,22.71%
1108BR,14.8%
1109BB,17.3%
1109BR,15.86%
1109KO,94.78%
1110BB,nan%
1110BR,8.37%
1111BB,16.39%
1111BR,11.55%
1111KO,14.28%
1112KO,50.16%
1113BR,16.72%
1113KO,16.18%
1114BB,62.47%
1114BR,5.82%
1114KO,18.28%
1115BB,0.21%
1115BR,15.56%
1115KO,10.57%
1116BR,19.14%
1117BR,22.44%
1117KO,29.3%
1118BR,11.7%
1118KO,6.55%
1119BB,16.7%
1119BR,22.51%
1119KO,6.11%
1120BB,30.63%
1120KO,136.52%
1121BB,36.71%
1121BR,14.36%
1122BR,7.02%
1123BB,0.41%
1123BR,47.78%
1123KO,131.79%
1125BB,32.71%
1125BR,2.26%
1125KO,29.85%
1126BR,15.5%
1127BR,2.61%
1127KO,15.13%
1128BB,4.07%
1128BR,14.14%
1128KO,15.83%
1129BB,80.82%
1129BR,12.97%
1129KO,56.75%
1130BR,8.79%
1131BB,4.37%
1131BR,8.8%
1132BR,11.91%
1133BR,16.41%
1134BB,2.98%
1134BR,79.82%
1135BR,7.47%
1136BR,18.56%
1136KO,62.8%
1137BR,21.29%
1137KO,48.71%
1138BR,68.17%
1138KO,3.12%
1139BB,14.15%
1139BR,69.22%
1139KO,115.04%
1140BR,15.6%
1140KO,4.73%
1141BR,15.87%
1141KO,9.73%
1142BB,19.59%
1142BR,24.29%
1142KO,4.32%
1143BR,5.54%
1144BB,65.18%
1144BR,5.41%
1144KO,5.06%
1145BR,22.03%
1145KO,139.12%
1146BB,121.93%
1146BR,7.11%
1146KO,9.34%
1147BR,8.49%
1147KO,14.14%
1148BB,25.22%
1148BR,0.89%
1149BR,18.8%
1150BR,51.91%
1150KO,19.91%
1151BB,8.63%
1151BR,41.32%
1151KO,14.98%
1152BB,4.93%
1152BR,9.48%
1152KO,126.56%
1153BB,10.76%
1153BR,8.09%
1153KO,118.26%
1154BB,5.91%
1154BR,45.2%
1154KO,9.65%
1156BB,59.45%
1156BR,14.21%
1157BR,8.61%
1158BR,7.43%
1159BR,7.31%
1159KO,139.36%
1160BR,200.71%
1161BR,11.84%
1161KO,7.48%
1162BR,14.38%
1162KO,7.11%
1163BR,11.81%
1163KO,1.28%
1164BR,12.85%
1164KO,107.39%
1165BR,11.99%
1166BR,16.77%
1166KO,12.81%
1167BR,21.32%
1168BR,46.82%
1169BR,8.36%
1169KO,67.7%
1170BB,nan%
1170BR,25.2%
1171BR,11.99%
1172BR,14.83%
1173BR,55.35%
1175BR,0.74%
1176BR,16.36%
1177BR,11.71%
1177KO,31.11%
1178BR,21.54%
1178KO,138.34%
1179BB,nan%
1179BR,10.07%
1180BR,11.92%
1181BR,13.27%
1182BR,9.7%
1183BR,11.68%
1184BR,3.96%
1185BR,16.39%
1186BR,8.13%
1186KO,21.28%
1187BR,13.58%
1188BR,8.67%
1189BR,11.52%
1190BR,12.03%
1191BR,18.51%
1192BR,8.49%
1193BR,6.33%
1194BR,14.02%
1195BR,47.59%
1197BR,67.7%
1199BR,40.51%
1200BR,17.17%
1202BR,19.27%
1203BR,112.52%
1203KO,nan%
1204BR,69.61%
1205BR,37.74%
1206BR,11.57%
1207BR,15.36%
1208BR,19.59%
1209BR,2.81%
1210BR,9.23%
1211BR,11.42%
1212BR,9.13%
1213BR,29.81%
1214BR,11.6%
1215BR,8.48%
1216BR,14.23%
1217BR,10.95%
1218BR,20.55%
1219BR,21.68%
1220BR,3.38%
1221BR,15.14%
1222BR,56.87%
1223BR,100.59%
1224BR,78.06%
1225BR,32.24%
1226BR,16.04%
1227BR,12.92%
1228BR,43.43%
1230BR,9.11%
1232BR,19.09%
1233BR,62.86%
1237BR,18.99%
1239BR,5.28%
1240BR,15.27%
1242BR,5.83%
1243BR,14.22%
1244BR,65.1%
1245BR,20.24%
1246BR,61.9%
1247BR,7.47%
1248BR,13.2%
1249BR,73.91%
1250BR,16.33%
1251BR,50.48%
1252BR,11.98%
1253BR,6.03%
1254BR,17.86%
1255BR,20.91%
1256BR,30.73%
1258BR,13.41%
1259BR,78.4%
1260BR,37.4%
1261BR,19.36%
1262BR,10.6%
1263BR,45.99%
1264BR,61.5%
1266BR,88.72%
1267BR,44.62%
1269BR,34.35%
1270BR,91.81%
1271BR,66.52%
1272BR,8.25%
1273BR,0.32%
1274BR,14.02%
1275BR,12.25%
1276BR,9.73%
1277BR,14.23%
1279BR,27.58%
1280BR,69.7%
1281BR,22.91%
1282BR,9.86%
1283BR,49.98%
1284BR,45.97%
1285BR,8.09%
1287BR,32.08%
1288BR,47.47%
1289BR,62.72%
1290BR,10.49%
1291BR,16.02%
1292BR,45.92%
1293BR,8.52%
1294BR,26.67%
1296BR,56.32%
1297BR,29.12%
1298BR,22.25%
1300BR,66.89%
1301BR,15.52%
1302BR,6.29%
1304BR,13.69%
1305BR,21.89%
1307BR,68.05%
1309BR,14.4%
1310BR,43.76%
1311BR,11.98%
1312BR,10.02%
1313BR,89.16%
1314BR,65.7%
1315BR,33.6%
1316BR,32.24%
1317BR,10.43%
1319BR,7.53%
1321BR,1.33%
1322BR,nan%
1323BR,47.49%
1324BR,5.81%
1325BR,8.62%
1326BR,nan%
1327BR,65.23%
1328BR,52.26%
1329BR,22.55%
1330BR,7.09%
1331BR,24.95%
1333BR,47.42%
1335BR,6.08%
1336BR,13.36%
1337BR,4.92%
1340BR,64.54%
1341BR,nan%
1343BR,46.15%
1344BR,8.63%
1345BR,58.94%
1346BR,40.81%
1347BR,nan%
1348BR,15.32%
1349BR,70.31%
1350BR,41.6%
1351BR,10.55%
1353BR,66.72%
1355BR,4.81%
1356BR,26.37%
1358BR,54.03%
1359BR,nan%
1363BR,63.8%
1366BR,1.58%
1367BR,nan%
1368BR,48.44%
1370BR,76.92%
1371BR,3.46%
1372BR,72.24%
1373BR,43.21%
1376BR,74.54%
1377BR,43.99%
1378BR,76.25%
1380BR,20.72%
1381BR,46.15%
1383BR,7.94%
1384BR,15.63%
1385BR,41.24%
1386BR,17.89%
1387BR,18.02%
1388BR,101.88%
1389BR,36.26%
1390BR,63.18%
1391BR,37.24%
1392BR,24.49%
1393BR,20.05%
1394BR,127.79%
1395BR,67.9%
1396BR,19.76%
1398BR,nan%
1399BR,18.59%
1400BR,158.74%
1401BR,1.8%
1402BR,1.62%
1403BR,52.98%
1405BR,18.5%
1406BR,50.28%
1409BR,nan%
1410BR,32.5%
1411BR,8.48%
1413BR,91.64%
1414BR,nan%
1415BR,8.3%
1416BR,42.44%
1419BR,0.42%
1421BR,26.26%
1429BR,18.36%
1430BR,6.22%
1432BR,20.44%
1442BR,nan%
1443BR,26.82%
1448BR,0.4%
1449BR,6.49%
1451BR,78.84%
1457BR,10.43%
1458BR,102.55%
1481BR,nan%
1486BR,nan%
1600BR,25.82%
1601BR,13.13%
1602BR,54.6%
1603BR,7.92%
1606BR,13.07%
1607BR,17.9%
1608BR,7.39%
1609BR,63.07%
1610BR,55.18%
1612BR,13.54%
1616BR,29.77%
1617BR,8.6%
1623BR,6.0%
1625BR,26.83%
1632BR,36.4%
1634BR,19.27%
1900BB,1.17%
1902BB,34.62%
1904BB,34.81%
1906BB,21.02%
1907BB,16.86%
1908BB,16.53%
1909BB,71.03%
1910BB,45.02%
1911BB,56.12%
1913BB,47.5%
1914BB,13.82%
1915BB,31.78%
1916BB,11.97%
1917BB,26.33%
1918BB,2.87%
1919BB,0.35%
1920BB,12.39%
1921BB,125.9%
1922BB,13.01%
1923BB,119.98%
1924BB,90.35%
1925BB,123.28%
1926BB,142.56%
1927BB,137.4%
1928BB,122.7%
1929BB,12.48%
1930BB,149.3%
1931BB,13.32%
1933BB,13.12%
1934BB,2.91%
1935BB,150.74%
1936BB,0.54%
1938BB,2.82%
1939BB,3.15%
1940BB,52.61%
1941BB,22.94%
1944BB,1.97%
1945BB,142.02%
1946BB,9.22%
1947BB,52.16%
1948BB,154.37%
1950BB,7.48%
1950BR,10.74%
1951BB,11.29%
1952BB,3.37%
1952BR,nan%
1953BB,10.22%
1953BR,7.78%
1954BB,7.05%
1954BR,36.84%
1955BB,64.02%
1955BR,45.75%
1956BB,3.02%
1956BR,48.58%
1957BB,1.16%
1957BR,33.44%
1958BB,6.27%
1958BR,25.5%
1959BB,112.08%
1959BR,14.36%
1960BB,27.88%
1960BR,57.59%
1961BR,54.18%
1962BB,140.4%
1962BR,19.11%
1963BB,8.57%
1963BR,66.68%
1964BB,23.22%
1964BR,11.7%
1965BB,24.01%
1965BR,16.52%
1966BB,17.2%
1966BR,11.28%
1967BB,135.03%
1967KO,14.95%
1968BB,15.33%
1968BR,14.52%
1968KO,17.46%
1969BB,8.71%
1969BR,0.39%
1970BB,7.6%
1970BR,8.1%
1971BB,72.98%
1971KO,17.19%
1972BB,142.44%
1972BR,13.46%
1972KO,15.5%
1973BB,20.39%
1973BR,17.9%
1973KO,10.54%
1974BB,4.24%
1974BR,20.22%
1974KO,6.52%
1975BB,37.37%
1975BR,51.4%
1975KO,44.98%
1976BB,133.1%
1976BR,17.28%
1976KO,46.07%
1977BB,36.64%
1977BR,10.9%
1977KO,76.7%
1978BB,12.07%
1978BR,0.65%
1978KO,53.03%
1979BB,110.06%
1979BR,12.79%
1979KO,12.61%
1980BB,6.38%
1980BR,17.97%
1980KO,56.77%
1981BB,126.91%
1981BR,1.2%
1981KO,11.05%
1982BB,27.28%
1982BR,19.32%
1982KO,14.45%
1983BB,139.58%
1983BR,16.11%
1983KO,7.5%
1984BB,59.92%
1984BR,11.55%
1984KO,13.08%
1985BB,10.05%
1985BR,12.81%
1985KO,16.88%
1986BB,15.96%
1986BR,10.56%
1986KO,29.64%
1987BB,18.59%
1987BR,38.55%
1987KO,56.33%
1988BB,138.32%
1988KO,14.33%
1989BB,15.92%
1989BR,14.97%
1990BB,146.25%
1990BR,nan%
1990KO,12.1%
1991BB,139.76%
1991BR,14.67%
1991KO,14.14%
1992BB,11.15%
1992BR,12.67%
1992KO,18.89%
1993BB,14.64%
1993BR,3.03%
1993KO,16.92%
1994BB,12.07%
1994BR,28.81%
1995BR,13.31%
1995KO,12.82%
1996BB,45.06%
1996BR,2.53%
1996KO,15.53%
1997BB,13.07%
1997BR,48.12%
1997KO,14.01%
1998BB,11.0%
1998BR,75.7%
1998KO,16.73%
1999BB,8.31%
1999BR,12.33%
1999KO,13.12%
2001BR,6.84%
2002KO,20.18%
2004KO,16.88%
2006BR,19.81%
2012BB,3.66%
2014BB,30.89%
2017BB,44.24%
2019BB,19.99%
2023BB,3.17%
2025KO,96.71%
2028BB,21.08%
2032BB,50.23%
2037BB,16.05%
2037KO,1.68%
2039BB,10.04%
2040KO,1.72%
2042KO,27.47%
2046BB,16.51%
2048KO,15.88%
2049KO,4.6%
2050KO,5.85%
2054BR,0.55%
2055KO,9.29%
2061BR,4.89%
2062BR,4.63%
2064BB,18.4%
2074BR,0.0%
2075BB,48.1%
2075BR,55.29%
2076BB,6.22%
2076BR,43.0%
2077BR,8.08%
2078BB,15.35%
2078BR,0.6%
2079BR,39.12%
2080BR,17.19%
2082BR,20.82%
2083BR,17.41%
2084BB,6.5%
2086BR,127.36%
2099BB,13.72%
2104BB,2.25%
2106BB,20.26%
2107BB,1.63%
2108BB,5.02%
2111BB,22.44%
2112BB,4.37%
2113BB,119.44%
2116BB,9.74%
2120BB,5.85%
2121BB,25.73%
2123BB,1.91%
4008BR,15.18%
4012KO,nan%
4060BR,89.63%
4351BR,8.78%
4361BR,18.44%
4362BR,19.02%
4365BR,15.43%
4366BR,12.27%
4367BR,24.83%
4368BR,24.74%
4372BB,11.26%
4373BB,9.19%
4376BB,119.55%
4378BB,12.8%
4380BB,21.15%
4391KO,75.18%
4392KO,12.97%
4396KO,20.13%
5006KO,268.06%
5240BB,5.92%
5417BR,87.05%
5425BR,57.11%
7224KO,24.87%
7541BR,16.68%
9503BB,48.48%
9510BB,1.33%
9511BB,0.0%
9512BB,1.59%
9513BB,2.76%
9515BB,102.32%
9516BB,1.74%
9517BB,2.14%
9518BB,1.5%
